[=] Session log /home/kali/.proxmark3/logs/log_20260105192541.txt
[+] loaded `/home/kali/.proxmark3/preferences.json`
[+] execute command from commandline: trace load -f grand-classic.trace; trace list -1 -t mf

[=] OFFLINE mode. Check "proxmark3 -h" if it's not what you want.

[offline|script] pm3 --> trace load -f grand-classic.trace
[+] Loaded 7849 bytes from binary file `grand-classic.trace`
[+] Recorded Activity (TraceLen = 7849 bytes)
[?] try `trace list -1 -t ...` to view trace.  Remember the `-1` param
[offline|script] pm3 --> trace list -1 -t mf
[+] Recorded activity ( 7849 bytes )
[=] start = start of start frame. end = end of frame. src = source of transfer.
[=] ISO14443A - all times are in carrier periods (1/13.56MHz)

      Start |        End | Src | Data (! denotes parity error)                                           | CRC | Annotation
   11964964 |   11968484 | Tag |08  B6  DD                                                               |  ok | 
   12009376 |   12014144 | Rdr |50  00  57  CD                                                           |  ok | HALT
   12055392 |   12056384 | Rdr |52(7)                                                                    |     | WUPA
   12057636 |   12060004 | Tag |04  00                                                                   |     | 
   12067424 |   12077952 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   12079124 |   12082644 | Tag |08  B6  DD                                                               |  ok | 
   12349792 |   12354496 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   12356516 |   12361252 | Tag |37  F8  FD  D6                                                           |     | AUTH: nt (lfsr16 index 37539)
   12372144 |   12381520 | Rdr |71  CF  47! 08  19  4F  C6  be!                                          |     | AUTH: nr ar (enc)
   12540960 |   12545728 | Rdr |50  00  57  CD                                                           |     | HALT
   12586736 |   12587728 | Rdr |52(7)                                                                    |     | WUPA
   12588980 |   12591348 | Tag |04  00                                                                   |     | 
   12598768 |   12609296 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   12610468 |   12613988 | Tag |08  B6  DD                                                               |  ok | 
   12659872 |   12664576 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   12666596 |   12671268 | Tag |21  B2  7C  ED                                                           |     | AUTH: nt (lfsr16 index 39448)
   12682208 |   12691520 | Rdr |2b! 39! 21! 03! f7! be! ab! E2                                           |     | AUTH: nr ar (enc)
   12692772 |   12697444 | Tag |f9! 33! e2! e0!                                                          |     | AUTH: at (enc)
   12749440 |   12754144 | Rdr |22! 43! 36! ea!                                                          |     | 
            |            |  *  |                                              key FFFFFFFFFFFF prng WEAK |     |
            |            |  *  |30  00  02  A8                                                           |  ok | READBLOCK(0)
   12755380 |   12776180 | Tag |a5! 7D  12  d3! 04! AB  94  D8  1f! 0B  bc! 11  01! 4e! 9E  98! 7A  e9!  |     | 
            |            |  *  |46  43  53  43  15  08  04  00  47  59  55  D1  41  10  36  07  8F  31   |  ok | 
   12834416 |   12839184 | Rdr |EF  17! 5e! ac!                                                          |     | 
            |            |  *  |50  00  57  CD                                                           |  ok | HALT
   12875968 |   12876960 | Rdr |52(7)                                                                    |     | WUPA
   12878196 |   12880564 | Tag |04  00                                                                   |     | 
   12887984 |   12898512 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   12899700 |   12903220 | Tag |08  B6  DD                                                               |  ok | 
   13011712 |   13016480 | Rdr |50  00  57  CD                                                           |  ok | HALT
   13054240 |   13055232 | Rdr |52(7)                                                                    |     | WUPA
   13056468 |   13058836 | Tag |04  00                                                                   |     | 
   13066256 |   13076784 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   13077972 |   13081492 | Tag |08  B6  DD                                                               |  ok | 
   13163264 |   13168032 | Rdr |50  00  57  CD                                                           |  ok | HALT
   13209136 |   13210128 | Rdr |52(7)                                                                    |     | WUPA
   13211380 |   13213748 | Tag |04  00                                                                   |     | 
   13221152 |   13231680 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   13232868 |   13236388 | Tag |08  B6  DD                                                               |  ok | 
   13302256 |   13307024 | Rdr |50  00  57  CD                                                           |  ok | HALT
   13343792 |   13344784 | Rdr |52(7)                                                                    |     | WUPA
   13346036 |   13348404 | Tag |04  00                                                                   |     | 
   13355808 |   13366336 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   13367524 |   13371044 | Tag |08  B6  DD                                                               |  ok | 
   13437168 |   13441936 | Rdr |50  00  57  CD                                                           |  ok | HALT
   13483920 |   13484912 | Rdr |52(7)                                                                    |     | WUPA
   13486164 |   13488532 | Tag |04  00                                                                   |     | 
   13495936 |   13506464 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   13507652 |   13511172 | Tag |08  B6  DD                                                               |  ok | 
   13551488 |   13556256 | Rdr |50  00  57  CD                                                           |  ok | HALT
   13597904 |   13598896 | Rdr |52(7)                                                                    |     | WUPA
   13600148 |   13602516 | Tag |04  00                                                                   |     | 
   13609920 |   13620448 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   13621620 |   13625140 | Tag |08  B6  DD                                                               |  ok | 
   13732464 |   13737168 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   13739188 |   13743860 | Tag |BA  6B  7E  CF                                                           |     | AUTH: nt (lfsr16 index 65264)
   13754816 |   13764192 | Rdr |98! e9! D4  5b! 17  46  7B  EC                                           |     | AUTH: nr ar (enc)
   13951664 |   13956432 | Rdr |50  00  57  CD                                                           |     | HALT
   14003872 |   14004864 | Rdr |52(7)                                                                    |     | WUPA
   14006116 |   14008484 | Tag |04  00                                                                   |     | 
   14015904 |   14026432 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   14027604 |   14031124 | Tag |08  B6  DD                                                               |  ok | 
   14084768 |   14089472 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   14091476 |   14096148 | Tag |9C  29  84  87                                                           |     | AUTH: nt (lfsr16 index 1907)
   14107072 |   14116448 | Rdr |D5  c6! 44  53! cd! 34  70  2b!                                          |     | AUTH: nr ar (enc)
   14274896 |   14279664 | Rdr |50  00  57  CD                                                           |     | HALT
   14319520 |   14320512 | Rdr |52(7)                                                                    |     | WUPA
   14321764 |   14324132 | Tag |04  00                                                                   |     | 
   14331536 |   14342064 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   14343252 |   14346772 | Tag |08  B6  DD                                                               |  ok | 
   14389984 |   14394752 | Rdr |60  28  BF  D6                                                           |  ok | AUTH-A(40)
   14396708 |   14401444 | Tag |AB  75  D9  CD                                                           |     | AUTH: nt (lfsr16 index 3799)
   14412336 |   14421648 | Rdr |db! f6! 4e! E5  04! 80! fd! 31!                                          |     | AUTH: nr ar (enc)
   14587952 |   14592720 | Rdr |50  00  57  CD                                                           |     | HALT
   14632288 |   14633280 | Rdr |52(7)                                                                    |     | WUPA
   14634532 |   14636900 | Tag |04  00                                                                   |     | 
   14644320 |   14654848 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   14656020 |   14659540 | Tag |08  B6  DD                                                               |  ok | 
   14714480 |   14719184 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   14721204 |   14725876 | Tag |12  74  34  44                                                           |     | AUTH: nt (lfsr16 index 5750)
   14736832 |   14746144 | Rdr |b2! D2  b3! c4! 4a! 52! 3f! 51!                                          |     | AUTH: nr ar (enc)
   14904336 |   14909104 | Rdr |50  00  57  CD                                                           |     | HALT
   14946688 |   14947680 | Rdr |52(7)                                                                    |     | WUPA
   14948932 |   14951300 | Tag |04  00                                                                   |     | 
   14958704 |   14969232 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   14970420 |   14973940 | Tag |08  B6  DD                                                               |  ok | 
   15015568 |   15020272 | Rdr |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   15022276 |   15027012 | Tag |15  F1  FA  C4                                                           |     | AUTH: nt (lfsr16 index 7622)
   15037888 |   15047200 | Rdr |43  FD  22! 17! 30  ed! f6! 0b!                                          |     | AUTH: nr ar (enc)
   15203376 |   15208144 | Rdr |50  00  57  CD                                                           |     | HALT
   15251792 |   15252784 | Rdr |52(7)                                                                    |     | WUPA
   15254020 |   15256388 | Tag |04  00                                                                   |     | 
   15263808 |   15274336 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   15275524 |   15279044 | Tag |08  B6  DD                                                               |  ok | 
   15323680 |   15328448 | Rdr |61  00  2D  62                                                           |  ok | AUTH-B(0)
   15330404 |   15335076 | Tag |B8  BE  34  A3                                                           |     | AUTH: nt (lfsr16 index 9525)
   15346000 |   15355376 | Rdr |3E  E8  59! 00  5d! 2d! D3  30!                                          |     | AUTH: nr ar (enc)
   15517600 |   15522368 | Rdr |50  00  57  CD                                                           |     | HALT
   15561520 |   15562512 | Rdr |52(7)                                                                    |     | WUPA
   15563764 |   15566132 | Tag |04  00                                                                   |     | 
   15573536 |   15584064 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   15585252 |   15588772 | Tag |08  B6  DD                                                               |  ok | 
   15642064 |   15646832 | Rdr |60  08  BD  F7                                                           |  ok | AUTH-A(8)
   15648788 |   15653460 | Tag |E0  98  03  11                                                           |     | AUTH: nt (lfsr16 index 11441)
   15664368 |   15673680 | Rdr |95! 5A  31! d1! 69! ac! 42  01!                                          |     | AUTH: nr ar (enc)
   15832112 |   15836880 | Rdr |50  00  57  CD                                                           |     | HALT
   15874176 |   15875168 | Rdr |52(7)                                                                    |     | WUPA
   15876420 |   15878788 | Tag |04  00                                                                   |     | 
   15886192 |   15896720 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   15897908 |   15901428 | Tag |08  B6  DD                                                               |  ok | 
   15985040 |   15989808 | Rdr |60  04  D1  3D                                                           |  ok | AUTH-A(4)
   15991764 |   15996436 | Tag |4A  74  73  5C                                                           |     | AUTH: nt (lfsr16 index 13313)
   16007424 |   16016736 | Rdr |DC  a7! b7! 6d! da! 68! 7F  E1                                           |     | AUTH: nr ar (enc)
   16176720 |   16181488 | Rdr |50  00  57  CD                                                           |     | HALT
   16221184 |   16222176 | Rdr |52(7)                                                                    |     | WUPA
   16223428 |   16225796 | Tag |04  00                                                                   |     | 
   16233200 |   16243728 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   16244916 |   16248436 | Tag |08  B6  DD                                                               |  ok | 
   16302000 |   16306704 | Rdr |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   16308724 |   16313396 | Tag |FD  C8  9A  F5                                                           |     | AUTH: nt (lfsr16 index 15216)
   16324352 |   16333728 | Rdr |EB  48! e9! C5  53! DF  b6! 41!                                          |     | AUTH: nr ar (enc)
   16490880 |   16495648 | Rdr |50  00  57  CD                                                           |     | HALT
   16532608 |   16533600 | Rdr |52(7)                                                                    |     | WUPA
   16534852 |   16537220 | Tag |04  00                                                                   |     | 
   16544624 |   16555152 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   16556340 |   16559860 | Tag |08  B6  DD                                                               |  ok | 
   16606592 |   16611296 | Rdr |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   16613300 |   16618036 | Tag |5B  8C  A4  1A                                                           |     | AUTH: nt (lfsr16 index 17075)
   16628880 |   16638192 | Rdr |6c! B5  00! CB  33! 70! CE  fe!                                          |     | AUTH: nr ar (enc)
   16795472 |   16800240 | Rdr |50  00  57  CD                                                           |     | HALT
   16850560 |   16851552 | Rdr |52(7)                                                                    |     | WUPA
   16852804 |   16855172 | Tag |04  00                                                                   |     | 
   16862592 |   16873120 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   16874292 |   16877812 | Tag |08  B6  DD                                                               |  ok | 
   16935728 |   16940432 | Rdr |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   16942452 |   16947124 | Tag |AC  8C  77  22                                                           |     | AUTH: nt (lfsr16 index 19040)
   16958064 |   16967376 | Rdr |29! 37  72  0B  b6! 89  F0  05                                           |     | AUTH: nr ar (enc)
   17140640 |   17145408 | Rdr |50  00  57  CD                                                           |     | HALT
   17182272 |   17183264 | Rdr |52(7)                                                                    |     | WUPA
   17184516 |   17186884 | Tag |04  00                                                                   |     | 
   17194288 |   17204816 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   17206004 |   17209524 | Tag |08  B6  DD                                                               |  ok | 
   17265104 |   17269808 | Rdr |60  18  3C  E7                                                           |  ok | AUTH-A(24)
   17271812 |   17276548 | Tag |42  F3  60  D6                                                           |     | AUTH: nt (lfsr16 index 21025)
   17287408 |   17296720 | Rdr |44! A7  55  05  7E  7C  8C  0F                                           |     | AUTH: nr ar (enc)
   17451472 |   17456240 | Rdr |50  00  57  CD                                                           |     | HALT
   17493424 |   17494416 | Rdr |52(7)                                                                    |     | WUPA
   17495668 |   17498036 | Tag |04  00                                                                   |     | 
   17505440 |   17515968 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   17517156 |   17520676 | Tag |08  B6  DD                                                               |  ok | 
   17564384 |   17569088 | Rdr |61  04  09  24                                                           |  ok | AUTH-B(4)
   17571108 |   17575844 | Tag |E8  02  18  C2                                                           |     | AUTH: nt (lfsr16 index 22867)
   17586704 |   17596080 | Rdr |aa! BA  D2  BD  02  b6! fc! 81!                                          |     | AUTH: nr ar (enc)
   17597268 |   17602004 | Tag |82  E2  4c! 62                                                           |     | AUTH: at (enc)
   17644976 |   17649680 | Rdr |fb! 96! d5! 40!                                                          |     | 
            |            |  *  |                                              key FFFFFFFFFFFF prng WEAK |     |
            |            |  *  |30  06  34  CD                                                           |  ok | READBLOCK(6)
   17650932 |   17671732 | Tag |b4! 68  9c! 1e! b6! 2D  48  98! ce! DE  18! 16! D1  9b! FA  9a! e9! 14   |     | 
            |            |  *  |61  32  36  37  64  32  33  64  65  30  34  66  39  7D  00  00  4A  9F   |  ok | 
   17738032 |   17742800 | Rdr |6E  EB  79  0a!                                                          |     | 
            |            |  *  |60  00  F5  7B                                                           |  ok | AUTH-A(0)
   17744740 |   17749412 | Tag |db! 2C  31! 00                                                           |     | AUTH: nt (enc)
   17761440 |   17770816 | Rdr |FC  af! 34! F1  6a! D4  4a! 49                                           |     | AUTH: nr ar (enc)
   17772004 |   17776740 | Tag |0a! 3A  c0! 2A                                                           |     | AUTH: at (enc)
   17812448 |   17817152 | Rdr |A2  98! F1  E1                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  03  99  9A                                                           |  ok | READBLOCK(3)
   17818404 |   17839268 | Tag |D0  4b! 59  da! 42! 6B  d8! 00  3F  ca! d0! F1  80! eb! F4  c6! 7b! 34   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   17903664 |   17908432 | Rdr |c3! 85  47! 9a!                                                          |     | 
            |            |  *  |30  00  02  A8                                                           |  ok | READBLOCK(0)
   17909620 |   17930420 | Tag |da! 06  88  FD  5B  5C  59! d0! 23! ad! 5F  D7  27  76  7c! d5! 70  F9   |     | 
            |            |  *  |46  43  53  43  15  08  04  00  47  59  55  D1  41  10  36  07  8F  31   |  ok | 
   17981088 |   17985856 | Rdr |21! BA  D3  4A                                                           |     | 
            |            |  *  |30  01  8B  B9                                                           |  ok | READBLOCK(1)
   17987028 |   18007892 | Tag |ce! 4C  8F  8B  e4! bd! 59! 67  AF  00  cc! 19! 16  57  CF  aa! 9e! 32   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   18102256 |   18107024 | Rdr |f6! 03  CB  9B                                                           |     | 
            |            |  *  |30  02  10  8B                                                           |  ok | READBLOCK(2)
   18108212 |   18129076 | Tag |6B  49  C7  5f! E3  C7  5B  d5! A4  27! 3f! E5  F1  33! 81! 17  2D  8A   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   18206608 |   18211376 | Rdr |4E  42  b8! 94                                                           |     | 
            |            |  *  |60  04  D1  3D                                                           |  ok | AUTH-A(4)
   18213332 |   18218068 | Tag |88! 5a! b6! e1!                                                          |     | AUTH: nt (enc)
   18239104 |   18243872 | Rdr |EC  c3! d6! 9E                                                           |     | 
   18281920 |   18282912 | Rdr |52(7)                                                                    |     | WUPA
   18284164 |   18286532 | Tag |04  00                                                                   |     | 
   18293936 |   18304464 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   18305652 |   18309172 | Tag |08  B6  DD                                                               |  ok | 
   18372624 |   18377392 | Rdr |60  04  D1  3D                                                           |  ok | AUTH-A(4)
   18379332 |   18384004 | Tag |CA  63  5F  AC                                                           |     | AUTH: nt (lfsr16 index 54754)
   18394928 |   18404240 | Rdr |02! A3  0D  08  35  63! BB  73!                                          |     | AUTH: nr ar (enc)
   18564240 |   18569008 | Rdr |50  00  57  CD                                                           |     | HALT
   18607888 |   18608880 | Rdr |52(7)                                                                    |     | WUPA
   18610132 |   18612500 | Tag |04  00                                                                   |     | 
   18619904 |   18630432 | Rdr |93  70  46  43  53  43  15  F9  57                                       |  ok | SELECT_UID
   18631620 |   18635140 | Tag |08  B6  DD                                                               |  ok | 
   18680816 |   18685520 | Rdr |61  04  09  24                                                           |  ok | AUTH-B(4)
   18687540 |   18692276 | Tag |8A  39  15  79                                                           |     | AUTH: nt (lfsr16 index 56650)
   18703184 |   18712496 | Rdr |41! 70  e7! 99! FF  c6! 3E  47                                           |     | AUTH: nr ar (enc)
   18713748 |   18718420 | Tag |6d! CC  b4! 8E                                                           |     | AUTH: at (enc)
   18768864 |   18773632 | Rdr |0D  64  C5  34                                                           |     | 
            |            |  *  |                                              key FFFFFFFFFFFF prng WEAK |     |
            |            |  *  |30  07  BD  DC                                                           |  ok | READBLOCK(7)
   18774820 |   18795620 | Tag |72! 63! A3  CC  D8  72! F0  4B  f1! 6a! F0  45! 6d! 03  91  ae! B2  9F   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   18842320 |   18847024 | Rdr |78! 25  2A  28                                                           |     | 
            |            |  *  |30  04  26  EE                                                           |  ok | READBLOCK(4)
   18848276 |   18869076 | Tag |d4! D5  AB  f2! D0  F1  D5  00! b0! 8A  42  E8  CF  19! 6a! 18  f1! 93   |     | 
            |            |  *  |46  43  53  43  7B  64  63  61  34  31  62  61  66  65  34  38  04  8E   |  ok | 
   18941264 |   18946032 | Rdr |84  59! F4  A4                                                           |     | 
            |            |  *  |30  05  AF  FF                                                           |  ok | READBLOCK(5)
   18947220 |   18968084 | Tag |16! e7! 7E  D9  90  24  70  a6! E4  3c! ac! 5a! E3  f4! f8! 3C  bd! 65!  |     | 
            |            |  *  |63  35  37  62  66  32  63  39  33  30  39  63  34  38  35  64  B6  D3   |  ok | 
   19033216 |   19037984 | Rdr |BA  7b! AD  6B                                                           |     | 
            |            |  *  |30  06  34  CD                                                           |  ok | READBLOCK(6)
   19039172 |   19060036 | Tag |1f! FB  c0! C2  fc! E4  32! c6! cf! D7  3e! 01  98! 25  45! b8! 73! 8A   |     | 
            |            |  *  |61  32  36  37  64  32  33  64  65  30  34  66  39  7D  00  00  4A  9F   |  ok | 
   19130688 |   19135456 | Rdr |75! D8  EA  e8!                                                          |     | 
            |            |  *  |60  08  BD  F7                                                           |  ok | AUTH-A(8)
   19137396 |   19142132 | Tag |48! 27  92! 25                                                           |     | AUTH: nt (enc)
   19154128 |   19163440 | Rdr |15  26! 70! c1! bf! 95  ca! 1E                                           |     | AUTH: nr ar (enc)
   19164692 |   19169428 | Tag |4B  f8! FA  84!                                                          |     | AUTH: at (enc)
   19238768 |   19243536 | Rdr |A6  23  19  89                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  0B  D1  16                                                           |  ok | READBLOCK(11)
   19244724 |   19265524 | Tag |a8! cc! E1  ca! d1! 41! 5c! CE  c4! F8  60  2b! a6! d0! A1  9C  C4  9C   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   19311504 |   19316272 | Rdr |04  f3! 0C  D5                                                           |     | 
            |            |  *  |30  08  4A  24                                                           |  ok | READBLOCK(8)
   19317460 |   19338324 | Tag |d3! 40  3F  e0! fa! ff! 09! 55  7a! 88  fc! 4f! 76! 3E  79! 7c! 17  BC   |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19393056 |   19397760 | Rdr |a8! 71  A1  b0!                                                          |     | 
            |            |  *  |30  09  C3  35                                                           |  ok | READBLOCK(9)
   19398996 |   19419860 | Tag |CA  1a! aa! 23! 32! 60  7E  D0  ab! 28! 03! ed! 09! 83! aa! e9! 37! b2!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19491264 |   19496032 | Rdr |36  ce! 24! 17!                                                          |     | 
            |            |  *  |30  0A  58  07                                                           |  ok | READBLOCK(10)
   19497204 |   19518068 | Tag |ce! 60  F0  fa! 6F  58! 0C  6a! 89! 4c! ee! 45! 88! 09! 7D  80! 31  11!  |     | 
            |            |  *  |00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  00  37  49   |  ok | 
   19583152 |   19587920 | Rdr |78! b5! ED  D3                                                           |     | 
            |            |  *  |60  0C  99  B1                                                           |  ok | AUTH-A(12)
   19589876 |   19594612 | Tag |91! C3  2a! b8!                                                          |     | AUTH: nt (enc)
   19606672 |   19616048 | Rdr |F8  da! 4f! 7b! F1  6A  71! 6B                                           |     | AUTH: nr ar (enc)
   19617236 |   19621908 | Tag |CF  5b! FB  e5!                                                          |     | AUTH: at (enc)
   19672992 |   19677696 | Rdr |9A  0b! ab! E8                                                           |     | 
            |            |  *  |                                               last used key FFFFFFFFFFFF|     |
            |            |  *  |30  0F  F5  50                                                           |  ok | READBLOCK(15)
   19678948 |   19699748 | Tag |34! e2! 29  3d! 5E  39  6D  7C  EA  25  2a! 17  a5! 36  6D  28! b1! 4E   |     | 
            |            |  *  |00  00  00  00  00  00  FF  07  80  69  FF  FF  FF  FF  FF  FF  D4  55   |  ok | 
   19744960 |   19749728 | Rdr |98! 26! 62  96!                                                          |     | 
            |            |  *  |30  0C  6E  62                                                           |  ok | READBLOCK(12)
